	CA	CDCA	BMCA	DCA	LCA	UDCA	GCA	GCDCA	GDCA	GUDCA	TCA	TCDCA	TDCA	TLCA	TUDCA
L.salvarious	0.274087772	0.062480531	0.519469181	0.046737165	0.003101349	0.022700493	0.005507916	-2.23056E-06	0.000778829	2.79992E-05	0.499405495	0.005942907	0.035327643	0.000221505	0.002712962
L.salvarious	0.371036993	0.08236391	0.607487503	0.05560516	0.000143939	0.043754089	0.007060691	0.000134142	0.000784722	3.83291E-05	0.838556397	0.007019606	0.050220243	0.000232527	0.001656772
L.salvarious	0.331745055	0.060378919	0.949304109	0.053794595	0.000119556	0.043986234	0.006150964	3.69995E-06	0.000557191	5.74618E-05	0.670092282	0.006123322	0.040840612	-4.20404E-05	0.005108364
L.salvarious	0.298841691	0.075125346	0.662149352	0.061268108	2.63639E-05	0.026076389	0.015915397	1.46961E-05	0.002503726	0.000117397	0.456366797	0.006157726	0.035682312	6.75125E-05	0.002467174
L.salvarious	0.21423568	0.057922413	0.389070695	0.048368708	0.000643274	0.020026597	0.003480398	3.20033E-05	0.000291623	1.93933E-05	0.409209024	0.006561979	0.030465103	0.000235115	0.00158912
L.salvarious	0.280852473	0.04371566	0.660374358	0.039653438	0.000109646	0.033733393	0.009309553	-4.68515E-07	0.001778499	3.63462E-06	0.765900016	0.00780771	0.041494376	7.40061E-05	0.005316288
L.salvarious	0.343630716	0.059580822	0.810050514	0.070156746	-3.08379E-05	0.032441606	0.009436371	-7.12672E-06	0.00142571	9.44233E-05	0.762316551	0.007317718	0.061879192	0.001004114	0.000701685
L.salvarious	0.087803238	0.053794917	0.408517621	0.04048624	5.93866E-05	0.024341993	0.000803694	5.76185E-05	8.40096E-05	5.07324E-05	0.384372141	0.00668172	0.040686925	0.000309957	0.005497038
L.salvarious	0.292437263	0.078984057	0.539137978	0.065610499	0.000218234	0.019224962	0.004117734	1.03841E-05	0.000296781	6.84019E-05	0.402068296	0.007332315	0.027591053	0.00042257	0.001306165
L.salvarious	0.157773692	0.07535607	0.322863555	0.052014887	0.000197214	0.037099596	0.000906187	4.88203E-06	4.28753E-05	0.000182041	0.222668884	0.006142638	0.024087371	7.47402E-05	0.000817679
L.salvarious	0.386789924	0.085061562	0.437923436	0.035715413	3.28311E-05	0.022719839	0.008722703	1.35108E-05	-2.29478E-05	5.87532E-05	0.405151127	0.006332955	0.015883158	-7.15338E-05	0.031728459
L.salvarious	0.210607358	0.07523703	0.293948208	0.023606793	0.026700256	0.014640084	0.00711939	9.66073E-06	0.000113301	4.39692E-05	0.201505565	0.00671527	0.003063193	2.88504E-05	0.000839913
L.salvarious	0.286052499	0.129486069	0.524256621	0.025776172	0.000525457	0.046514398	0.003290305	1.7778E-05	0.000113358	2.57514E-05	0.59680942	0.006583202	0.013037403	0.000170741	0.001281548
L.salvarious	0.262566687	0.070340196	0.393457199	0.047807649	0.000428834	0.026416269	0.008380752	1.69741E-05	0.001052799	3.39577E-05	0.43584633	0.006662131	0.037624392	0.002915321	0.000256256
L.reuteri	0.211063764	0.050105693	0.537724247	0.054529755	0.000807443	0.025104306	0.003862832	3.78522E-05	0.000228992	7.58934E-05	0.452176919	0.006115055	0.036340348	0.000262988	0.000336906
L.reuteri	0.458572612	0.100955509	1.742161037	0.018842562	0.000289442	0.045905246	0.018572983	5.48161E-05	0.000568687	2.5272E-05	1.240430257	0.007773894	0.016722548	0.000284115	0.001734925
L.reuteri	0.216844148	0.060829455	0.663266398	0.035798143	0.000468746	0.024881097	0.003034347	6.26179E-06	0.000486036	6.21137E-05	0.470510198	0.00623124	0.024780241	0.001273617	0.005277664
L.reuteri	0.383255344	0.0328836	0.705892911	0.050661013	0.000768285	0.010361687	0.010921342	2.94887E-08	0.000410547	4.07655E-05	0.573926568	0.006708785	0.023852602	0.000168798	0.000937624
L.reuteri	0.139454816	0.031898938	0.239433166	0.039668629	0.000566439	0.006032921	0.002934908	9.41467E-06	-2.20338E-05	6.67817E-05	0.178029174	0.006066251	0.012946288	-5.44468E-05	0.00170965
L.reuteri	0.191806229	0.064547398	0.596785951	0.060819361	0.000239398	0.043767268	0.014901636	9.0087E-06	0.003200592	6.1114E-05	0.725433925	0.00656383	0.072857563	0.000833808	0.00746915
L.reuteri	0.278204454	0.059867765	0.530770467	0.04803263	0.000655488	0.017372201	0.00694094	3.6333E-05	0.001132226	8.19765E-05	0.414902702	0.006239397	0.021134538	1.43423E-05	0.001741297
L.reuteri	0.089401444	0.044465155	0.247865507	0.018933435	0.00109847	0.011789662	0.00081309	4.23899E-05	-7.48016E-05	0.000321411	0.275679832	0.005973923	-0.010154775	-5.29153E-05	0.001633792
L.reuteri	0.176390798	0.054609328	0.555923168	0.04861985	0.000645883	0.016066381	0.003868278	2.03926E-05	0.001347404	2.78725E-05	0.432703266	0.006646102	-0.006973006	3.79022E-05	0.00272379
L.reuteri	0.213263001	0.050633328	0.476673875	0.044525565	0.000150379	0.013748382	0.004332798	2.73808E-05	0.00031387	2.78288E-05	0.507748031	0.006393279	0.03107729	0.002569497	0.001031746
L.reuteri	0.157411997	0.058146831	0.384449933	0.074956045	0.000136476	0.033232215	0.000223792	0.000104276	0.00200418	1.63736E-05	0.446393139	0.006975385	0.064568971	0.000387897	0.001309766
L.reuteri	0.127392575	0.020238197	0.620708497	0.028314544	0.000496253	0.004800308	0.004388977	-2.68978E-06	0.00026487	0.000923728	0.521312669	0.006127155	0.025422683	0.000269622	0.000477675
L.reuteri	0.173235255	0.05717855	0.553537378	0.019132515	0.000726381	0.017371988	0.002300181	-1.6212E-07	0.000157009	6.30904E-05	0.478454725	0.0070569	0.011572836	7.53129E-05	0.000662606
L.reuteri	0.330092877	0.065201233	0.642025247	0.056905702	0.000160782	0.021506528	0.020126634	7.03351E-05	0.000953098	0.000125499	0.597469931	0.00673682	0.042082804	9.1028E-05	0.002655879
L.reuteriHQ	0.234077115	0.079106007	0.746472003	0.033756347	0.000552581	0.050201006	0.004386598	6.77314E-06	-4.16349E-05	8.37297E-06	0.779814384	0.007545816	0.04381219	0.003182506	0.003495205
L.reuteriHQ	0.498770072	0.144109221	0.726867474	0.053970305	0.002813315	0.035738748	0.009201466	5.17091E-05	0.000864212	5.50291E-05	1.020968194	0.007035849	0.035136131	0.000353469	0.001704467
L.reuteriHQ	0.356557172	0.079000817	0.748951248	0.100536328	0.000321092	0.055187739	0.008337704	0.000124751	0.001242857	6.80905E-05	0.598671471	0.007851283	0.064646632	0.000693941	0.003498514
L.reuteriHQ	0.324840511	0.080898338	0.747038134	0.06824995	0.000276659	0.054043019	0.01059785	0.000315686	0.001884364	0.000286464	0.969692447	0.008722368	0.076807196	0.000584485	0.001288939
L.reuteriHQ	0.454870265	0.087909488	0.957757042	0.077839812	0.000956927	0.058200383	0.01381175	-9.18821E-06	0.002375913	0.000109952	0.909563194	0.007895545	0.058205513	-3.71724E-05	0.000945053
L.reuteriHQ	0.472890703	0.072272788	1.07237409	0.071114535	0.000838253	0.062099336	0.012057189	4.32824E-06	0.001682457	6.80862E-05	1.388952335	0.009410655	0.083471761	0.000642739	0.005997151
L.reuteriHQ	0.341828826	0.071195829	0.79863053	0.035344682	0.000362803	0.058776702	0.00614836	1.58043E-06	0.000916042	3.48867E-05	0.921669645	0.007417512	0.036443778	0.00078702	0.001040431
L.reuteriHQ	0.16370141	0.055738228	0.445983371	0.035783761	0.000519162	0.034127645	0.001688205	2.60721E-05	0.001760719	0.000116379	0.53413546	0.006598071	0.039342107	0.000105884	0.001453553
L.reuteriHQ	0.242158997	0.058078425	0.522091867	0.071746233	0.000144234	0.044910827	0.005055858	8.84417E-05	0.001030364	1.28903E-05	0.548531388	0.007114563	0.069622321	8.07732E-05	0.001438007
L.reuteriHQ	0.317009485	0.055547822	0.76600987	0.047399001	0.000425954	0.030842949	0.00629982	1.79338E-05	-5.94311E-05	1.22822E-05	0.573332559	0.006438532	0.028490847	0.000365699	0.000503503
L.reuteriHQ	0.283250725	0.061486897	0.446227559	0.038800988	0.000374761	0.030484262	0.008636564	1.60652E-06	-3.83826E-05	0.000257016	0.495615849	0.006529813	0.025159671	0.000854682	0.009795519
L.reuteriHQ	0.13940927	0.03530148	0.259913419	0.047266126	0.003033311	0.016659645	0.001471736	0.000341152	0.00041776	9.61532E-05	0.201888227	0.006939638	0.021481064	0.00010583	0.000482447
L.reuteriHQ	0.33560018	0.074947972	1.167270669	0.044399911	0.001110505	0.073838667	0.014138509	5.59557E-06	0.001078312	3.28813E-05	1.066779369	0.008047263	0.051823547	6.74472E-07	0.00471647
L.reuteriHQ	0.407785984	0.131144308	1.345331458	0.030926621	0.000108792	0.066243926	0.007292619	1.69944E-05	7.9654E-06	1.54363E-05	1.740332416	0.015805448	0.062484704	0.000820396	0.048064567
HQ	0.534351175	0.195430588	0.857351022	0.08382959	0.000320368	0.07573106	0.009068738	-2.24427E-06	-1.7316E-05	2.50566E-05	0.753688175	0.006989229	0.047506749	0.000490971	0.001722432
HQ	1.091273063	0.180043865	1.456258948	0.16295995	0.000615988	0.089850886	0.024471504	0.000409676	0.002206661	8.61356E-05	1.668311018	0.006723229	0.133467841	0.001290866	0.002481177
HQ	0.887127025	0.18719612	1.794070412	0.055176701	0.000665468	0.106492858	0.025161711	5.61802E-05	0.001768242	2.10726E-05	2.301906991	0.008302824	0.058694259	0.003096324	0.006861471
