ID	H.SRR1927149	H.SRR1929408	H.SRR1929484	H.SRR1929485	H.SRR1929563	H.SRR1929574	H.SRR1930121	H.SRR1930122	H.SRR1930123	H.SRR1930128	H.SRR1930132	H.SRR1930133	H.SRR1930134	H.SRR1930136	H.SRR1930138	H.SRR1930140	H.SRR1930141	H.SRR1930142	H.SRR1930143	H.SRR1930144	H.SRR1930145	H.SRR1930149	H.SRR1930176	H.SRR1930177	H.SRR1930179	H.SRR1930187	H.SRR1930244	
Paludibacter	0.00000000	0.00069889	0.00000000	0.00000000	0.00000000	0.00156571	0.00026998	0.00000000	0.00151584	0.00000000	0.00000000	0.00000000	0.00000000	0.00181041	0.00000000	0.00000000	0.00025527	0.00000000	0.00000000	0.00219305	0.00117187	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Parabacteroides	0.00172093	0.00180089	0.00161974	0.00000000	0.00208618	0.00323705	0.00161423	0.00174242	0.00258501	0.00285159	0.00000000	0.00169898	0.00135782	0.00313048	0.00308183	0.00191787	0.00266615	0.00264350	0.00254629	0.00291931	0.00170412	0.01243727	0.00509687	0.00000000	0.00000000	0.00000000	0.00414777	
Paraprevotella	0.00181756	0.00168289	0.00123027	0.00000000	0.00177490	0.00132604	0.00248998	0.00235730	0.00310183	0.00196774	0.00352351	0.00000000	0.00116368	0.00125528	0.00122724	0.00394870	0.00201839	0.00095225	0.00109176	0.00182955	0.00272414	0.00000000	0.00000000	0.00318546	0.00000000	0.00000000	0.00000000	
Phascolarctobacterium	0.00575495	0.00295952	0.00173906	0.00000000	0.01430615	0.00693551	0.01000522	0.01086333	0.00370288	0.01250418	0.00000000	0.01240489	0.00905585	0.00755763	0.01244132	0.00633245	0.01916624	0.00880715	0.00960754	0.00394286	0.00549480	0.01675197	0.00311337	0.00681442	0.00000000	0.00454028	0.02287339	
Porphyromonas	0.00000000	0.00069499	0.00105333	0.00000000	0.00174581	0.00129508	0.00100493	0.00103324	0.00108971	0.00242730	0.00000000	0.00000000	0.00000000	0.00154070	0.00230734	0.00158369	0.00077187	0.00131490	0.00199102	0.00160138	0.00109758	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00074924	
Prevotella	0.11314138	0.08056929	0.06754180	0.09000794	0.17130556	0.14061551	0.14584834	0.15424614	0.13691455	0.15510862	0.29545637	0.16777987	0.08483928	0.22433678	0.14505224	0.38524113	0.19088387	0.12725197	0.13658276	0.06332511	0.15901797	0.05605511	0.10789384	0.33403677	0.23650077	0.10473836	0.06853179	
Pseudoflavonifractor	0.00064646	0.00095697	0.00080546	0.00000000	0.00055803	0.00096461	0.00149334	0.00097457	0.00104480	0.00056428	0.00000000	0.00186954	0.00000000	0.00114270	0.00000000	0.00000000	0.00116435	0.00134405	0.00000000	0.00000000	0.00063273	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Pseudoramibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032353	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Roseburia	0.00236779	0.01215657	0.00107679	0.00130559	0.00091395	0.00714250	0.00161385	0.00130867	0.00767448	0.00210666	0.00000000	0.00159623	0.00502643	0.00092577	0.00000000	0.00655221	0.00574795	0.00084990	0.00092754	0.00236956	0.00223094	0.00000000	0.00000000	0.00177128	0.00337931	0.00000000	0.01637027	
Ruminiclostridium	0.02625751	0.00440465	0.00061077	0.00000000	0.00085993	0.00270579	0.00254747	0.00298436	0.00222904	0.00137661	0.00000000	0.00370110	0.03672241	0.00124283	0.00000000	0.00000000	0.00136285	0.00000000	0.00104529	0.00119962	0.00174794	0.00137309	0.01419616	0.00000000	0.00000000	0.00000000	0.00084821	
