ID	P.SRR1761664	P.SRR1761665	P.SRR1761666	P.SRR1761667	P.SRR1761668	P.SRR1761669	P.SRR1761670	P.SRR1761671	P.SRR1761672	P.SRR1761673	P.SRR1761674	P.SRR1761675	P.SRR1761698	P.SRR1761699	P.SRR1761700	P.SRR1761701	P.SRR1761702	P.SRR1761703	P.SRR1761704	P.SRR1761705	P.SRR1761706	P.SRR1761707	P.SRR1761708	P.SRR1761709	P.SRR1761710	P.SRR1761711	P.SRR1761712	P.SRR1761713	P.SRR1761714	P.SRR1761715	P.SRR1761716	P.SRR1761717	P.SRR1761718	P.SRR1761719	P.SRR1761720	P.SRR1761721	
Lentisphaera	0.00000000	0.00000000	0.00000000	0.00126526	0.00334405	0.00298468	0.00034550	0.00000000	0.00026721	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024958	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Leuconostoc	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00447680	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mahella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050765	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027886	0.00044310	0.00000000	0.00000000	0.00096196	0.00045409	0.00021308	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Marvinbryantia	0.00000000	0.00067770	0.00000000	0.00000000	0.00000000	0.00000000	0.00050815	0.00000000	0.00033245	0.00035105	0.00000000	0.00000000	0.00081681	0.00083421	0.00101573	0.00000000	0.00088941	0.00118340	0.00059784	0.00026542	0.00048013	0.00065272	0.00046212	0.00037579	0.00097285	0.00094593	0.00053788	0.00077354	0.00091147	0.00137238	0.00076609	0.00021566	0.00069658	0.00042188	0.00101364	0.00136228	
Megasphaera	0.00000000	0.00000000	0.00000000	0.00198273	0.00000000	0.00000000	0.00000000	0.00837001	0.00000000	0.00279786	0.00000000	0.04801838	0.00000000	0.00000000	0.00000000	0.01042956	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Methanobrevibacter	0.02491064	0.00028906	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00627657	0.00831914	0.00000000	0.00312567	0.00010572	0.00530626	0.00959867	0.00000000	0.00844488	0.00786442	0.00658024	0.00565807	0.00000000	0.00000000	0.00245461	0.06833243	0.00000000	0.00000000	0.02932045	0.00996296	0.00000000	0.00545967	0.01040341	0.03270711	0.00000000	0.00161619	0.00000000	0.00000000	
Methanomassiliicoccus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00042873	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Methanosphaera	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00076268	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mitsuokella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025331	0.00000000	0.00725221	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mogibacterium	0.00885983	0.00428329	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00051077	0.00085177	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00044761	0.00363445	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mycoplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00240528	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Odoribacter	0.00126882	0.00116885	0.00000000	0.00081960	0.00195554	0.00201202	0.00203837	0.00169509	0.00301661	0.00124703	0.00211543	0.00046992	0.00046757	0.00022242	0.00052035	0.00044741	0.00000000	0.00057065	0.00000000	0.00056092	0.00000000	0.00051188	0.00000000	0.00000000	0.00045856	0.00000000	0.00000000	0.00000000	0.00069673	0.00090995	0.00000000	0.00097597	0.00082189	0.00080057	0.00039033	0.00030714	
Olsenella	0.00068643	0.00039907	0.00000000	0.00000000	0.00000000	0.00000000	0.00022544	0.00000000	0.00000000	0.00000000	0.00000000	0.00047662	0.00000000	0.00000000	0.00000000	0.00389382	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00033801	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Oribacterium	0.00000000	0.00077224	0.00000000	0.00000000	0.00000000	0.00068535	0.00126921	0.00106755	0.00026329	0.00027072	0.00000000	0.00051334	0.00072554	0.00077008	0.00000000	0.00000000	0.00035120	0.00026745	0.00251810	0.00000000	0.00000000	0.00057525	0.00122584	0.00031655	0.00043197	0.00066130	0.00030351	0.00045367	0.00032560	0.00000000	0.00053030	0.00000000	0.00000000	0.00000000	0.00033349	0.00095025	
Oscillibacter	0.00573220	0.01481399	0.00000000	0.00516003	0.00596698	0.01377400	0.01343044	0.00220909	0.00325371	0.00504183	0.00101417	0.00273995	0.00355589	0.00298779	0.00692508	0.00000000	0.00274354	0.00572678	0.01045911	0.00089089	0.00000000	0.00251540	0.00315584	0.00599848	0.00149767	0.00831028	0.00530802	0.00539914	0.00129793	0.00671357	0.00373130	0.00246781	0.00188966	0.00041546	0.00207246	0.00235256	
Oxalobacter	0.00000000	0.00000000	0.00000000	0.00056765	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023677	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Paenibacillus	0.00000000	0.00092107	0.00000000	0.00000000	0.00084192	0.00120462	0.00148461	0.00000000	0.00062046	0.00082669	0.00000000	0.00042909	0.00111536	0.00165027	0.00098560	0.00000000	0.00184690	0.00164041	0.00323570	0.00051506	0.00059961	0.00097058	0.00103564	0.00251204	0.00086022	0.00158465	0.00176759	0.00278859	0.00096596	0.00142670	0.00205800	0.00145630	0.00098564	0.00098462	0.00098421	0.00083387	
Paludibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00083786	0.00000000	0.00000000	0.00000000	0.00257913	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Parabacteroides	0.00160706	0.00157780	0.00273575	0.00105270	0.00418629	0.00224063	0.00252619	0.00154755	0.00254945	0.00212824	0.00300032	0.00091624	0.00050303	0.00079154	0.00475822	0.01219193	0.00310019	0.00077218	0.00037705	0.00310024	0.00104562	0.00168407	0.00079370	0.00000000	0.00097591	0.00056921	0.00000000	0.00076422	0.00218413	0.00121230	0.00040205	0.00138215	0.00114281	0.00131746	0.00162511	0.00058609	
